SKU,CustomsDescription,CustomsTariffNo,CustomsCountry
NP-BN,Notepad,4820102020,CA
INS-HPC-GP,Planner inserts (loose refills),4820900000,CA
INS-HL-GP,Planner inserts (loose refills),4820900000,CA
INS-A5-GP,Planner inserts (loose refills),4820900000,CA
INSWKS-CLHP-25-SS,Planner inserts (loose refills),4820900000,CA
INSWKS-HL-25-SS,Planner inserts (loose refills),4820900000,CA
INSWKS-A5-25-SS,Planner inserts (loose refills),4820900000,CA
STCK-HABIT,Sticky notepad,4820102020,CA
STCK-HABIT-2,Sticky notepad,4820102020,CA
DOT-BLF-HA5-HOF,Notebook (bound journal),4820102060,CA
DOT-ENF-HA5-HOF,Notebook (bound journal),4820102060,CA
DOT-WDL-HA5-HOF,Notebook (bound journal),4820102060,CA
DOT-BLF-HB5-HOF,"Notebook (sewn journal, B5 size)",4820102030,CA
DOT-ENF-HB5-HOF,"Notebook (sewn journal, B5 size)",4820102030,CA
DOT-WDL-HB5-HOF,"Notebook (sewn journal, B5 size)",4820102030,CA
DOT-BLF-HTN-HOF,Notebook (bound journal),4820102060,CA
DOT-ENF-HTN-HOF,Notebook (bound journal),4820102060,CA
DOT-WDL-HTN-HOF,Notebook (bound journal),4820102060,CA
DOT-BLF-HA5-HOF70,Notebook (bound journal),4820102060,CA
DOT-ENF-HA5-HOF70,Notebook (bound journal),4820102060,CA
DOT-WDL-HA5-HOF70,Notebook (bound journal),4820102060,CA
GRP-BLF-HA5-HOF,Notebook (bound journal),4820102060,CA
GRP-ENF-HA5-HOF,Notebook (bound journal),4820102060,CA
GRP-WDL-HA5-HOF,Notebook (bound journal),4820102060,CA
GRP-BLF-HB5-HOF,"Notebook (sewn journal, B5 size)",4820102030,CA
GRP-ENF-HB5-HOF,"Notebook (sewn journal, B5 size)",4820102030,CA
GRP-WDL-HB5-HOF,"Notebook (sewn journal, B5 size)",4820102030,CA
GRP-BLF-HTN-HOF,Notebook (bound journal),4820102060,CA
GRP-ENF-HTN-HOF,Notebook (bound journal),4820102060,CA
GRP-WDL-HTN-HOF,Notebook (bound journal),4820102060,CA
NTB-LIN-A5-ECF,Notebook (bound journal),4820102060,CA
NTB-LIN-A5-WDL,Notebook (bound journal),4820102060,CA
JWL-14K-BRC-GLD-14,Sterling silver jewellery bracelet,7113115000,CA
BRC-MED-GLP,Sterling silver jewellery bracelet,7113115000,CA
JWL-HLC-BRC-GLD-14,Sterling silver jewellery bracelet,7113115000,CA
JWL-SIL-BRC-SLV-AB,Sterling silver jewellery bracelet,7113115000,CA
JWL-SIL-BRC-SLV-AA,Sterling silver jewellery bracelet,7113115000,CA
JWL-SIL-BRC-SLV,Sterling silver jewellery bracelet,7113115000,CA
BRC-SML-GLP-4,Sterling silver jewellery earrings,7113115000,CA
BRC-SML-GLP-3,Sterling silver jewellery earrings,7113115000,CA
PEN-ALUMINUM,Gel ink pen,9608100000,CA
PEN-BRASS,Gel ink pen,9608100000,CA
AC-HI-AUT,Paper sticker,4911998000,CA
AC-HI-LR,Paper sticker,4911998000,CA
AC-HI-MA,Paper sticker,4911998000,CA
AC-HI-DAS,Paper sticker,4911998000,CA
STK-HLT-DPO,Paper sticker,4911998000,CA
AC-HI-FE,Paper sticker,4911998000,CA
STK-HLT-FWN,Paper sticker,4911998000,CA
STK-HLT-MRG,Paper sticker,4911998000,CA
AC-HI-MO,Paper sticker,4911998000,CA
AC-HI-MOS,Paper sticker,4911998000,CA
AC-HI-NIM,Paper sticker,4911998000,CA
AC-HI-ELB,Paper sticker,4911998000,CA
AC-HI-RI,Paper sticker,4911998000,CA
STK-HLT-OAK,Paper sticker,4911998000,CA
STK-HLT-SNP,Paper sticker,4911998000,CA
AC-HI-TDL,Paper sticker,4911998000,CA
AC-HI-LI,Paper sticker,4911998000,CA
AC-HI-WO,Paper sticker,4911998000,CA
STK-HLT,Paper sticker,4911998000,CA
JWL-HUM-EAR-PR-AA,Sterling silver jewellery earrings,7113115000,CA
JWL-HUM-EAR-SN-AA,Sterling silver jewellery earrings,7113115000,CA
DOT-RIV-HA5-HUM,Notebook (bound journal),4820102060,CA
DOT-WDI-HA5-HUM,Notebook (bound journal),4820102060,CA
DOT-RIV-HB5-HUM,"Notebook (sewn journal, B5 size)",4820102030,CA
DOT-WDI-HB5-HUM,"Notebook (sewn journal, B5 size)",4820102030,CA
DOT-RIV-HA5-HUM70,Notebook (bound journal),4820102060,CA
DOT-WDI-HA5-HUM70,Notebook (bound journal),4820102060,CA
GRP-RIV-HA5-HUM,Notebook (bound journal),4820102060,CA
GRP-RIV-HB5-HUM,"Notebook (sewn journal, B5 size)",4820102030,CA
GRP-WDI-HB5-HUM,"Notebook (sewn journal, B5 size)",4820102030,CA
GRP-RIV-HA5-HUM70,Notebook (bound journal),4820102060,CA
GRP-WDI-HA5-HUM70,Notebook (bound journal),4820102060,CA
LIN-RIV-HA5-HUM,Notebook (bound journal),4820102060,CA
LIN-WDI-HA5-HUM,Notebook (bound journal),4820102060,CA
JWL-HUM-EAR-PR,Sterling silver jewellery earrings,7113115000,CA
JWL-HUM-EAR-SN,Sterling silver jewellery earrings,7113115000,CA
HYDR-DEF,Paper sticker,4911998000,CA
DAI-ENC,Planner agenda (bound diary),4820102010,CA
WKP-UND-CHB-IM,Planner agenda (bound diary),4820102010,CA
WKP-UND-ECF-IM,Planner agenda (bound diary),4820102010,CA
WKP-UND-ECF-IM-AA,Planner agenda (bound diary),4820102010,CA
WKP-UND-FWN-IM,Planner agenda (bound diary),4820102010,CA
WKP-UND-MNF-IM,Planner agenda (bound diary),4820102010,CA
WKP-UND-MOS-IM,Planner agenda (bound diary),4820102010,CA
WKP-UND-MOS-IM-AA,Planner agenda (bound diary),4820102010,CA
WKP-UND-RIV-IM,Planner agenda (bound diary),4820102010,CA
NTB-DOT-A5-PLG-IM,Notebook (bound journal),4820102060,CA
NTB-DOT-A5-WIN-IM,Notebook (bound journal),4820102060,CA
NTB-DOT-TN-SNP-IM,Notebook (bound journal),4820102060,CA
NTB-DOT-TN-SNP-IM-AA,Notebook (bound journal),4820102060,CA
NTB-DOT-TN-WDL-IM,Notebook (bound journal),4820102060,CA
GRP-A5-SCA,Notebook (bound journal),4820102060,CA
GRP-A5-SCA-AB,Notebook (bound journal),4820102060,CA
GRP-A5-SNA,Notebook (bound journal),4820102060,CA
GRP-B5-AUT,"Notebook (sewn journal, B5 size)",4820102030,CA
GRP-B5-CHA-AC,"Notebook (sewn journal, B5 size)",4820102030,CA
GRP-TN-SNA,Notebook (bound journal),4820102060,CA
DOT-B5-ENC,"Notebook (sewn journal, B5 size)",4820102030,CA
NTB-GRD-B5-ECF-IM,"Notebook (sewn journal, B5 size)",4820102030,CA
NTB-GRD-B5-WDL-IM,"Notebook (sewn journal, B5 size)",4820102030,CA
NTB-LIN-A5-ECF-IM,Notebook (bound journal),4820102060,CA
NTB-LIN-A5-WDL-IM,Notepad,4820102020,CA
DOT-A5-WIL,Notebook (bound journal),4820102060,CA
